Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
1,1133.8502,735.9649,593.0434,626.3157,8.3512,,8.3512,1133.8502
2,1135.7604,735.9649,593.913,628.9473,5.0883,,13.4395,1135.7604
3,1137.1875,735.9649,594.7825,630.7017,5.0936,,18.5331,1137.1875
4,1140.9096,740.3508,597.3912,629.8245,5.091,,23.6241,1140.9096
5,1136.7659,735.9649,593.0434,631.5789,5.0893,,28.7134,1136.7659
6,1136.8471,736.8421,593.0434,630.7017,5.0871,,33.8005,1136.8471
7,1136.5084,734.2105,595.6521,630.7017,5.0866,,38.8871,1136.5084
8,1138.2927,737.7192,595.6521,629.8245,5.1012,,43.9883,1138.2927
9,1139.3468,738.5964,595.6521,630.7017,5.1036,,49.0919,1139.3468
10,1139.6889,737.7192,597.3912,630.7017,5.1033,,54.1952,1139.6889
11,1140.0856,741.228,595.6521,628.9473,5.1929,,59.3881,1140.0856
12,1139.3468,738.5964,595.6521,630.7017,5.1794,,64.5675,1139.3468
13,1137.9851,738.5964,593.0434,630.7017,5.1827,,69.7502,1137.9851
14,1139.4305,739.4736,595.6521,629.8245,5.1789,,74.9291,1139.4305
15,1133.2147,733.3333,590.4347,630.7017,5.1945,,80.1236,1133.2147
16,1132.6127,732.4561,591.3043,629.8245,5.2033,,85.3269,1132.6127
17,1135.8322,732.4561,596.5217,630.7017,5.1826,,90.5095,1135.8322
18,1140.2872,738.5964,596.5217,631.5789,5.1827,,95.6922,1140.2872
19,1134.1086,734.2105,594.7825,627.1929,5.1794,,100.8716,1134.1086
20,1136.3608,736.8421,593.0434,629.8245,5.1875,,106.0591,1136.3608
21,1136.6141,735.9649,597.3912,627.1929,5.1892,,111.2483,1136.6141
22,1141.3941,740.3508,597.3912,630.7017,5.1918,,116.4401,1141.3941
23,1136.2788,735.9649,593.0434,630.7017,5.1805,,121.6206,1136.2788
24,1136.6141,735.9649,597.3912,627.1929,5.1773,,126.7979,1136.6141
25,1138.5057,738.5964,592.1738,632.4561,5.1805,,131.9784,1138.5057
26,1138.4714,738.5964,593.0434,631.5789,5.1919,,137.1703,1138.4714
27,1139.4614,739.4736,594.7825,630.7017,5.1886,,142.3589,1139.4614
28,1136.5889,735.0877,595.6521,629.8245,5.1827,,147.5416,1136.5889
29,1138.2927,737.7192,595.6521,629.8245,5.1799,,152.7215,1138.2927
30,1141.5086,741.228,596.5217,630.7017,5.1837,,157.9052,1141.5086
31,1137.4082,738.5964,595.6521,627.1929,5.1912,,163.0964,1137.4082
32,1136.5451,737.7192,590.4347,631.5789,5.2038,,168.3002,1136.5451
33,1138.2102,736.8421,595.6521,630.7017,5.1832,,173.4834,1138.2102
34,1138.1232,736.8421,598.2608,628.0701,5.1826,,178.666,1138.1232
35,1134.5761,733.3333,593.0434,630.7017,5.1746,,183.8406,1134.5761
36,1136.686,735.0877,593.0434,632.4561,5.1896,,189.0302,1136.686
37,1139.4865,740.3508,596.5217,628.0701,5.1843,,194.2145,1139.4865
38,1138.7783,737.7192,595.6521,630.7017,5.1886,,199.4031,1138.7783
39,1137.1564,735.9649,595.6521,629.8245,5.185,,204.5881,1137.1564
40,1139.3784,738.5964,594.7825,631.5789,5.183,,209.7711,1139.3784
41,1141.6831,739.4736,600.8695,628.9473,5.1821,,214.9532,1141.6831
42,1135.8251,735.9649,592.1738,630.7017,5.1956,,220.1488,1135.8251
43,1137.6425,735.9649,595.6521,630.7017,5.1951,,225.3439,1137.6425
44,1135.05,734.2105,595.6521,628.0701,5.1849,,230.5288,1135.05
45,1141.2808,739.4736,598.2608,630.7017,5.1739,,235.7027,1141.2808
46,1138.4384,738.5964,593.913,630.7017,5.1793,,240.882,1138.4384
47,1141.2598,738.5964,596.5217,633.3333,5.1946,,246.0766,1141.2598
48,1139.3468,738.5964,595.6521,630.7017,5.1908,,251.2674,1139.3468
49,1137.3835,737.7192,593.913,629.8245,5.1946,,256.462,1137.3835
50,1135.8748,736.8421,593.0434,628.9473,5.1848,,261.6468,1135.8748
51,1137.4829,734.2105,595.6521,632.4561,5.1794,,266.8262,1137.4829
52,1138.22,740.3508,591.3043,630.7017,5.1935,,272.0197,1138.22
53,1139.5584,735.9649,596.5217,633.3333,5.1914,,277.2111,1139.5584
54,1138.263,737.7192,596.5217,628.9473,5.1951,,282.4062,1138.263
55,1134.6243,734.2105,593.913,628.9473,5.1832,,287.5894,1134.6243
56,1138.4384,738.5964,593.913,630.7017,5.1837,,292.7731,1138.4384
57,1139.4113,738.5964,593.913,632.4561,5.1834,,297.9565,1139.4113
58,1136.4764,737.7192,592.1738,629.8245,5.1955,,303.152,1136.4764
59,1136.8387,737.7192,595.6521,627.1929,5.1929,,308.3449,1136.8387
60,1136.7329,735.9649,593.913,630.7017,5.1832,,313.5281,1136.7329
61,1137.239,736.8421,595.6521,628.9473,5.1854,,318.7135,1137.239
62,1139.9703,740.3508,596.5217,628.9473,5.1833,,323.8968,1139.9703
63,1137.5209,737.7192,590.4347,633.3333,5.1945,,329.0913,1137.5209
64,1136.6418,735.9649,596.5217,628.0701,5.206,,334.2973,1136.6418
65,1139.8016,738.5964,596.5217,630.7017,5.1805,,339.4778,1139.8016
66,1139.0078,739.4736,593.913,630.7017,5.1837,,344.6615,1139.0078
67,1138.7624,736.8421,593.913,633.3333,5.1762,,349.8377,1138.7624
68,1139.3872,735.0877,599.1304,631.5789,5.1963,,355.034,1139.3872
69,1141.1473,737.7192,597.3912,633.3333,5.1876,,360.2216,1141.1473
70,1138.639,740.3508,593.0434,629.8245,5.1907,,365.4123,1138.639
71,1137.4158,737.7192,593.0434,630.7017,5.1784,,370.5907,1137.4158
