Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,585.0877,524.3478,661.4035,7.9982,1026.9970
2,589.4736,526.9565,658.7719,12.6700,1029.1467
3,585.0877,526.0869,663.1578,17.4365,1029.0157
4,585.0877,524.3478,660.5263,22.1738,1026.4322
5,585.0877,522.6087,662.2807,26.9224,1026.6757
6,585.0877,528.6956,664.0350,31.6857,1030.9167
7,588.5964,526.0869,659.6491,36.4430,1028.7614
8,586.8421,530.4347,663.1578,41.1950,1032.2418
9,586.8421,530.4347,665.7894,45.9474,1033.9344
10,583.3333,524.3478,662.2807,50.7183,1026.5642
11,585.0877,529.5652,660.5263,55.5722,1029.1074
12,586.8421,527.8261,659.6491,60.4103,1028.6501
13,586.8421,529.5652,660.5263,65.2599,1030.1058
14,586.8421,527.8261,658.7719,70.1013,1028.0877
15,585.9649,527.8261,660.5263,74.9547,1028.7128
16,586.8421,529.5652,660.5263,79.8167,1030.1058
17,585.9649,523.4782,659.6491,84.6717,1025.9245
18,586.8421,526.0869,661.4035,89.5337,1028.8857
19,589.4736,526.0869,657.0175,94.3768,1027.5791
20,583.3333,528.6956,662.2807,99.2123,1028.7918
21,584.2105,523.4782,658.7719,104.0548,1024.3592
22,585.0877,524.3478,664.0350,108.9971,1028.6937
23,585.0877,522.6087,660.5263,113.9352,1025.5449
24,583.3333,528.6956,660.5263,118.8802,1027.6633
25,583.3333,527.8261,658.7719,123.8290,1026.0889
26,585.0877,524.3478,658.7719,128.7751,1025.3041
27,585.9649,526.9565,660.5263,133.7164,1028.2669
28,585.0877,524.3478,658.7719,138.6671,1025.3041
29,586.8421,527.8261,662.2807,143.6082,1030.3395
30,585.0877,527.8261,660.5263,148.5451,1028.2135
31,584.2105,527.8261,664.0350,153.4772,1029.9732
32,583.3333,528.6956,662.2807,158.4092,1028.7918
33,586.8421,527.8261,664.0350,163.3433,1031.4682
34,583.3333,526.9565,663.1578,168.2776,1028.4645
35,585.0877,526.0869,664.0350,173.2123,1029.5812
36,581.5789,528.6956,658.7719,178.1455,1025.5406
37,585.9649,529.5652,664.0350,183.0818,1031.8608
38,586.8421,524.3478,664.0350,188.0227,1029.6926
39,584.2105,528.6956,660.5263,192.9589,1028.1614
40,583.3333,529.5652,665.7894,197.9040,1031.5002
41,588.5964,527.8261,662.2807,202.8533,1031.3398
42,581.5789,529.5652,657.0175,207.8039,1024.8636
43,586.8421,530.4347,655.2631,212.7462,1027.1876
44,589.4736,529.5652,655.2631,217.6966,1028.2453
45,589.4736,528.6956,662.2807,222.6423,1032.2858
46,583.3333,530.4347,660.5263,227.5890,1028.5590
47,585.0877,526.0869,663.1578,232.5275,1029.0157
48,586.8421,529.5652,664.0350,237.4482,1032.3592
49,587.7192,529.5652,660.5263,242.3796,1030.6058
50,582.4561,528.6956,662.2807,247.3160,1028.2946
51,585.0877,529.5652,664.0350,252.2497,1031.3629
52,589.4736,526.0869,658.7719,257.1757,1028.7016
53,584.2105,524.3478,664.0350,262.1073,1028.1950
54,585.0877,524.3478,664.0350,267.0436,1028.6937
55,583.3333,528.6956,658.7719,271.9794,1026.5364
56,585.0877,527.8261,664.0350,276.9288,1030.4710
57,586.8421,526.0869,665.7894,281.8717,1031.7105
58,585.0877,526.9565,660.5263,286.8194,1027.7674
59,581.5789,524.3478,663.1578,291.7689,1026.1350
60,586.8421,527.8261,662.2807,296.7128,1030.3395
61,583.3333,526.0869,663.1578,301.6628,1028.0192
62,586.8421,529.5652,664.0350,306.5992,1032.3592
63,586.8421,529.5652,662.2807,311.5312,1031.2316
64,586.8421,532.1738,664.0350,316.4670,1033.6998
65,589.4736,531.3043,660.5263,321.3980,1032.5010
66,581.5789,529.5652,660.5263,326.3327,1027.1165
67,585.0877,529.5652,664.0350,331.2669,1031.3629
68,586.8421,529.5652,663.1578,336.1941,1031.7952
69,585.0877,529.5652,655.2631,341.1403,1025.7371
70,586.8421,530.4347,660.5263,346.0713,1030.5531
71,589.4736,531.3043,660.5263,351.0179,1032.5010
72,593.8596,528.6956,666.6666,355.9586,1037.6092
73,585.0877,528.6956,655.2631,360.9108,1025.2885
74,592.9824,524.3478,658.7719,365.8547,1029.8297
75,578.9473,524.3478,655.2631,370.8062,1019.5540
76,593.8596,519.1304,669.2982,375.7553,1034.4688
77,585.0877,524.3478,665.7894,380.7028,1029.8271
78,585.0877,520.8695,665.7894,385.6501,1028.0605
79,583.3333,526.0869,664.0350,390.5956,1028.5853
80,586.8421,524.3478,670.1754,395.5228,1033.6630
81,581.5789,522.6087,664.0350,400.4602,1025.8150
82,589.4736,523.4782,665.7894,405.3955,1031.8839
83,579.8245,525.2174,660.5263,410.3358,1023.8871
84,586.8421,526.0869,663.1578,415.2765,1030.0144
85,581.5789,527.8261,660.5263,420.2021,1026.2209
86,583.3333,526.9565,658.7719,425.1515,1025.6419
87,585.0877,529.5652,662.2807,430.0905,1030.2342
88,587.7192,529.5652,664.9122,435.0300,1033.4223
89,585.9649,529.5652,660.5263,439.9767,1029.6063
90,586.8421,529.5652,663.1578,444.9283,1031.7952
91,583.3333,528.6956,661.4035,449.8783,1028.2272
92,589.4736,526.0869,664.0350,454.8266,1032.0800
93,584.2105,526.0869,662.2807,459.7630,1027.9519
94,586.8421,525.2174,657.0175,464.7080,1025.6260
95,585.0877,527.8261,664.0350,469.6538,1030.4710
96,584.2105,524.3478,662.2807,474.5976,1027.0629
97,581.5789,525.2174,664.9122,479.5291,1027.7138
98,586.8421,528.6956,662.2807,484.4703,1030.7854
99,589.4736,527.8261,658.7719,489.4095,1029.5921
100,586.8421,527.8261,665.7894,494.3507,1032.5985
101,588.5964,522.6087,662.2807,499.3815,1028.6794
102,586.8421,528.6956,662.2807,504.4091,1030.7854
103,586.8421,526.0869,663.1578,509.4372,1030.0144
104,586.8421,524.3478,660.5263,514.4532,1027.4333
105,581.5789,529.5652,664.0350,519.4808,1029.3764
106,588.5964,526.0869,664.0350,524.5023,1031.5793
107,583.3333,528.6956,662.2807,529.5202,1028.7918
108,583.3333,526.9565,663.1578,534.5465,1028.4645
109,585.9649,526.9565,662.2807,539.5734,1029.3948
110,586.8421,524.3478,664.0350,544.6032,1029.6926
111,585.0877,526.0869,660.5263,549.6253,1027.3217
112,585.9649,524.3478,664.9122,554.6446,1029.7591
113,589.4736,529.5652,660.5263,559.6868,1031.6072
114,581.5789,529.5652,660.5263,564.7279,1027.1165
115,589.4736,527.8261,664.0350,569.7651,1032.9676
116,583.3333,524.3478,661.4035,574.8041,1025.9985
117,581.5789,529.5652,662.2807,579.8438,1028.2456
118,589.4736,529.5652,664.0350,584.8814,1033.8574
119,590.3508,529.5652,657.0175,589.9171,1029.8666
120,586.8421,526.0869,660.5263,594.9522,1028.3220
121,589.4736,528.6956,664.0350,599.9889,1033.4122
122,585.0877,528.6956,662.2807,605.0252,1029.7875
123,585.9649,524.3478,664.0350,610.0554,1029.1929
124,590.3508,529.5652,662.2807,615.0842,1033.2324
125,586.8421,520.8695,662.2807,620.1170,1026.7933
126,586.8421,526.0869,665.7894,625.1591,1031.7105
127,589.4736,530.4347,664.9122,630.1834,1034.8664
128,585.0877,526.0869,664.0350,635.2127,1029.5812
129,583.3333,527.8261,662.2807,640.2260,1028.3452
130,588.5964,527.8261,665.7894,645.2530,1033.5965
131,583.3333,528.6956,658.7719,650.2833,1026.5364
132,584.2105,528.6956,659.6491,655.3114,1027.5981
133,589.4736,527.8261,658.7719,660.3383,1029.5921
134,583.3333,527.8261,664.9122,665.3702,1030.0419
135,590.3508,530.4347,664.0350,670.3961,1034.8032
136,585.0877,524.3478,662.2807,675.4199,1027.5621
137,585.0877,529.5652,658.7719,680.4425,1027.9821
138,585.0877,529.5652,663.1578,685.4679,1030.7984
139,585.0877,524.3478,658.7719,690.4899,1025.3041
140,589.4736,529.5652,664.0350,695.5120,1033.8574
141,586.8421,524.3478,657.0175,700.5360,1025.1811
142,587.7192,528.6956,662.2807,705.5579,1031.2850
143,580.7017,528.6956,662.2807,710.5838,1027.3020
144,583.3333,529.5652,663.1578,715.6113,1029.8035
145,583.3333,526.0869,663.1578,720.6383,1028.0192
146,589.4736,529.5652,664.0350,725.6550,1033.8574
147,585.0877,526.0869,660.5263,730.6912,1027.3217
148,585.0877,526.0869,663.1578,735.7231,1029.0157
149,588.5964,529.5652,658.7719,740.7473,1029.9832
150,586.8421,527.8261,662.2807,745.7895,1030.3395
151,586.8421,526.0869,666.6666,750.8311,1032.2768
152,590.3508,528.6956,662.2807,755.8690,1032.7869
153,589.4736,524.3478,664.0350,760.9089,1031.1947
154,588.5964,530.4347,664.9122,765.9424,1034.3670
155,589.4736,524.3478,660.5263,770.9868,1028.9387
156,585.9649,526.0869,663.1578,776.0278,1029.5147
157,588.5964,529.5652,665.7894,781.0581,1034.4858
158,579.8245,529.5652,662.2807,786.0932,1027.2543
159,589.4736,529.5652,665.7894,791.1393,1034.9851
160,586.8421,529.5652,664.0350,796.1672,1032.3592
161,589.4736,528.6956,666.6666,801.1888,1035.1052
162,585.0877,526.0869,663.1578,806.2131,1029.0157
163,586.8421,527.8261,666.6666,811.2250,1033.1643
164,586.8421,528.6956,658.7719,816.2557,1028.5345
165,585.0877,524.3478,660.5263,821.2848,1026.4322
166,586.8421,527.8261,664.9122,826.3096,1032.0332
167,581.5789,527.8261,662.2807,831.3383,1027.3510
168,583.3333,528.6956,664.0350,836.3685,1029.9221
169,581.5789,526.0869,663.1578,841.3929,1027.0247
170,586.8421,525.2174,662.2807,846.4111,1029.0057
171,588.5964,526.0869,664.0350,851.4322,1031.5793
172,583.3333,526.0869,658.7719,856.4521,1025.1954
173,585.0877,529.5652,664.0350,861.4747,1031.3629
174,583.3333,527.8261,664.0350,866.4957,1029.4759
175,583.3333,529.5652,661.4035,871.5233,1028.6746
176,583.3333,527.8261,663.1578,876.5525,1028.9104
177,589.4736,529.5652,664.0350,881.5833,1033.8574
178,581.5789,529.5652,662.2807,886.6080,1028.2456
179,586.8421,531.3043,664.9122,891.6350,1033.8164
180,588.5964,529.5652,658.7719,896.6785,1029.9832
181,583.3333,531.3043,660.5263,901.7204,1029.0078
182,586.8421,529.5652,658.7719,906.7529,1028.9816
