Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,674.5614,651.3043,571.9298,7.9983,1098.3323
2,680.7017,651.3043,573.6842,12.6749,1103.0257
3,678.9473,653.0434,575.4385,17.4268,1103.8862
4,680.7017,653.0434,575.4385,22.1797,1104.9661
5,674.5614,653.0434,571.9298,26.9419,1099.3646
6,676.3157,652.1738,570.1754,31.7053,1099.0148
7,677.1929,656.5217,568.4210,36.4507,1101.2327
8,675.4385,651.3043,569.2982,41.2020,1097.5040
9,677.1929,649.5652,571.0526,45.9659,1098.4654
10,678.0701,651.3043,575.4385,50.7281,1102.3184
11,671.0526,651.3043,571.9298,55.5695,1096.1809
12,678.0701,651.3043,571.0526,60.4101,1100.0352
13,677.1929,649.5652,571.0526,65.2420,1098.4654
14,676.3157,653.9130,570.1754,70.0916,1100.0478
15,674.5614,653.0434,568.4210,74.9395,1097.5433
16,674.5614,655.6521,572.8070,79.7929,1101.3721
17,675.4385,656.5217,569.2982,84.6419,1100.6082
18,674.5614,651.3043,569.2982,89.4877,1096.9643
19,676.3157,653.0434,569.2982,94.3335,1099.0765
20,678.9473,654.7825,571.9298,99.1678,1103.0926
21,677.1929,651.3043,569.2982,104.0228,1098.5845
22,675.4385,653.0434,568.4210,108.9624,1098.0826
23,674.5614,653.0434,570.1754,113.9010,1098.4528
24,677.1929,653.9130,571.9298,118.8417,1101.4973
25,676.3157,651.3043,572.8070,123.7927,1099.8674
26,678.0701,650.4347,574.5614,128.7292,1101.3470
27,676.3157,647.8261,572.8070,133.6632,1097.8112
28,671.0526,651.3043,571.0526,138.6024,1095.7235
29,675.4385,647.8261,567.5438,143.5295,1094.5328
30,676.3157,651.3043,569.2982,148.4681,1098.0440
31,671.9298,652.1738,572.8070,153.3974,1097.6922
32,677.1929,647.8261,567.5438,158.3344,1095.6163
33,678.9473,649.5652,571.0526,163.2707,1099.5479
34,677.1929,651.3043,569.2982,168.2146,1098.5845
35,674.5614,651.3043,568.4210,173.1575,1096.5093
36,674.5614,655.6521,565.7894,178.1038,1097.7388
37,676.3157,651.3043,572.8070,183.0520,1099.8674
38,678.0701,654.7825,568.4210,187.9956,1100.7370
39,676.3157,656.5217,570.1754,192.9405,1101.6005
40,677.1929,657.3912,567.5438,197.8883,1101.2990
41,677.1929,653.9130,569.2982,202.8355,1100.1331
42,677.1929,658.2608,569.2982,207.7846,1102.7230
43,678.0701,651.3043,571.0526,212.7199,1100.0352
44,677.1929,656.5217,569.2982,217.6454,1101.6857
45,678.0701,654.7825,567.5438,222.5807,1100.2843
46,678.0701,653.9130,571.9298,227.5147,1102.0368
47,680.7017,654.7825,568.4210,232.4478,1102.3601
48,680.7017,654.7825,570.1754,237.3852,1103.2656
49,676.3157,658.2608,568.4210,242.3328,1101.7318
50,674.5614,657.3912,568.4210,247.2689,1100.1358
51,678.9473,658.2608,572.8070,252.2129,1105.6151
52,678.9473,654.7825,569.2982,257.1617,1101.7305
53,674.5614,653.9130,571.0526,262.1111,1099.4255
54,678.0701,653.9130,575.4385,267.0562,1103.8618
55,680.7017,651.3043,572.8070,272.0001,1102.5698
56,677.1929,654.7825,572.8070,276.9419,1102.4692
57,677.1929,651.3043,573.6842,281.8915,1100.8638
58,674.5614,654.7825,571.9298,286.8412,1100.3985
59,672.8070,654.7825,569.2982,291.7928,1097.9571
60,672.8070,653.0434,568.4210,296.7330,1096.4659
61,676.3157,653.0434,571.9298,301.6672,1100.4420
62,678.0701,650.4347,567.5438,306.6004,1097.7023
63,678.0701,653.0434,570.1754,311.5353,1100.6112
64,678.0701,651.3043,571.0526,316.4629,1100.0352
65,673.6842,651.3043,569.2982,321.3873,1096.4251
66,680.7017,650.4347,569.2982,326.3328,1100.2366
67,677.1929,651.3043,572.8070,331.2708,1100.4069
68,676.3157,655.6521,572.8070,336.2182,1102.4476
69,677.1929,650.4347,571.0526,341.1685,1098.9798
70,678.0701,654.7825,570.1754,346.1130,1101.6439
71,678.0701,647.8261,572.8070,351.0554,1098.8929
72,677.1929,653.9130,570.1754,355.9998,1100.5874
