








Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,555.2631,620.0000,641.2280,7.9983,1050.6619
2,555.2631,617.3912,640.3508,12.6526,1048.5887
3,550.0000,618.2608,638.5964,17.4045,1045.2520
4,554.3859,620.8695,636.8421,22.1366,1048.0413
5,551.7543,620.0000,637.7192,26.8986,1046.6702
6,552.6315,620.0000,639.4736,31.6488,1048.2023
7,554.3859,620.0000,639.4736,36.3833,1049.1284
8,555.2631,618.2608,641.2280,41.1171,1049.6367
9,553.5087,623.4782,642.1052,45.8785,1052.3289
10,554.3859,620.0000,641.2280,50.6434,1050.1987
11,553.5087,620.8695,641.2280,55.4664,1050.2497
12,551.7543,621.7391,639.4736,60.3115,1048.7702
13,553.5087,620.0000,640.3508,65.1693,1049.2003
14,559.6491,618.2608,642.9824,70.0004,1053.0338
15,553.5087,621.7391,639.4736,74.8435,1049.6943
16,550.8771,620.8695,641.2280,79.7034,1048.8652
17,553.5087,623.4782,641.2280,84.5513,1051.7939
18,552.6315,620.8695,640.3508,89.3965,1049.2520
19,556.1403,620.8695,641.2280,94.2412,1051.6390
20,551.7543,622.6087,642.1052,99.0951,1050.8918
21,554.3859,618.2608,652.6315,103.9480,1056.1810
22,556.1403,618.2608,642.1052,108.8913,1050.6368
23,553.5087,618.2608,645.6140,113.8334,1051.3970
24,555.2631,620.0000,641.2280,118.7691,1050.6619
25,555.2631,625.2174,642.9824,123.6850,1054.8177
26,554.3859,619.1304,642.1052,128.6233,1050.2216
27,555.2631,619.1304,639.4736,133.5537,1049.0787
28,556.1403,620.8695,639.4736,138.4825,1050.5701
29,555.2631,620.0000,643.8596,143.4194,1052.2701
30,553.5087,620.8695,639.4736,148.3472,1049.1794
31,551.7543,626.0869,639.4736,153.2829,1051.3536
32,552.6315,620.0000,640.3508,158.2247,1048.7377
33,551.7543,622.6087,639.4736,163.1514,1049.2860
34,550.0000,619.1304,637.7192,168.0996,1045.2313
35,553.5087,622.6087,639.4736,173.0203,1050.2095
