Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,588.5964,517.3912,629.8245,7.9984,1005.3947
2,585.0877,516.5217,628.0701,12.6728,1001.7956
3,587.7192,515.6521,631.5789,17.4198,1005.0885
4,588.5964,515.6521,635.0877,22.1722,1007.8092
5,588.5964,516.5217,630.7017,26.9350,1005.4974
6,587.7192,513.9130,628.9473,31.7026,1002.5444
7,587.7192,514.7825,631.5789,36.4616,1004.6427
8,584.2105,515.6521,629.8245,41.2167,1001.9371
9,587.7192,517.3912,628.0701,45.9849,1003.7827
10,586.8421,514.7825,628.9473,50.7492,1002.4767
11,586.8421,514.7825,632.4561,55.5961,1004.6818
12,587.7192,517.3912,631.5789,60.4424,1005.9819
13,584.2105,516.5217,631.5789,65.2980,1003.4881
14,585.0877,516.5217,631.5789,70.1410,1003.9991
15,585.9649,514.7825,630.7017,74.9928,1003.0656
16,585.0877,513.9130,631.5789,79.8472,1002.6595
17,585.0877,514.7825,633.3333,84.7060,1004.2110
18,586.8421,514.7825,629.8245,89.5469,1003.0272
19,587.7192,514.7825,631.5789,94.3900,1004.6427
20,587.7192,514.7825,631.5789,99.2357,1004.6427
21,585.0877,519.1304,628.0701,104.0923,1003.1431
22,585.0877,515.6521,631.5789,109.0223,1003.5520
23,584.2105,517.3912,632.4561,113.9618,1004.4881
24,585.0877,514.7825,632.4561,118.9064,1003.6580
25,585.0877,517.3912,633.3333,123.8515,1005.5508
26,588.5964,516.5217,634.2105,128.7937,1007.7020
27,585.9649,516.5217,631.5789,133.7290,1004.5105
28,585.9649,515.6521,627.1929,138.6660,1001.3106
29,584.2105,514.7825,631.5789,143.6012,1002.5941
30,584.2105,516.5217,632.4561,148.5360,1004.0405
31,589.4736,516.5217,628.9473,153.4658,1004.9122
32,584.2105,521.7391,633.3333,158.4028,1007.2858
33,585.9649,518.2608,631.5789,163.3370,1005.4059
34,585.0877,515.6521,629.8245,168.2718,1002.4489
35,585.9649,518.2608,631.5789,173.2174,1005.4059
36,585.0877,516.5217,631.5789,178.1630,1003.9991
37,583.3333,517.3912,629.8245,183.1064,1002.3225
38,586.8421,518.2608,631.5789,188.0498,1005.9174
39,586.8421,520.8695,629.8245,192.9943,1006.1648
40,585.0877,520.0000,631.5789,197.9449,1005.7929
41,585.9649,513.9130,632.4561,202.8719,1003.7241
42,586.8421,519.1304,633.3333,207.8235,1007.4677
43,585.0877,518.2608,632.4561,212.7702,1005.4465
44,584.2105,520.0000,631.5789,217.7022,1005.2829
45,586.8421,515.6521,629.8245,222.6191,1003.4738
46,585.9649,514.7825,630.7017,227.5598,1003.0656
47,585.0877,516.5217,632.4561,232.4940,1004.5511
48,585.0877,519.1304,631.5789,237.4271,1005.3436
49,586.8421,515.6521,631.5789,242.3576,1004.5759
50,581.5789,516.5217,630.7017,247.3081,1001.4057
51,584.2105,515.6521,630.7017,252.2444,1002.4888
52,590.3508,517.3912,635.9649,257.1917,1010.2768
53,583.3333,516.5217,635.0877,262.1366,1005.1909
54,585.9649,517.3912,635.9649,267.0769,1007.7202
55,585.9649,520.0000,631.5789,272.0245,1006.3035
56,585.0877,520.8695,632.4561,276.9487,1006.7936
57,584.2105,518.2608,634.2105,281.8973,1006.0413
58,585.0877,517.3912,628.9473,286.8392,1002.7941
59,582.4561,515.6521,631.5789,291.7853,1002.0200
60,582.4561,520.0000,628.9473,296.7190,1002.6115
61,584.2105,520.8695,633.3333,301.6385,1006.8356
62,584.2105,520.0000,631.5789,306.5776,1005.2829
63,586.8421,520.8695,628.0701,311.4939,1005.0676
64,581.5789,525.2174,631.5789,316.4248,1006.4687
65,585.0877,520.0000,632.4561,321.3629,1006.3440
66,580.7017,520.0000,631.5789,326.2767,1003.2479
67,585.0877,520.8695,633.3333,331.2047,1007.3449
68,585.0877,523.4782,635.0877,336.1492,1009.7987
69,585.9649,524.3478,633.3333,341.0905,1009.6566
70,584.2105,520.8695,630.7017,346.0366,1005.1824
71,587.7192,520.0000,636.8421,350.9801,1010.6343
72,587.7192,516.5217,634.2105,355.9121,1007.1900
73,586.8421,520.8695,635.0877,360.8599,1009.4677
74,587.7192,520.0000,636.8421,365.8099,1010.6343
75,591.2280,521.7391,635.9649,370.7304,1013.0220
76,588.5964,520.8695,633.3333,375.6652,1009.3869
77,592.1052,519.1304,633.3333,380.6043,1010.5424
78,592.9824,522.6087,631.5789,385.5363,1011.7509
79,595.6140,538.2608,631.5789,390.4781,1021.4561
80,594.7368,523.4782,631.5789,395.4145,1013.2291
81,593.8596,528.6956,633.3333,400.3531,1016.5133
82,593.8596,525.2174,633.3333,405.3041,1014.7086
83,593.8596,525.2174,632.4561,410.2418,1014.1613
84,595.6140,528.6956,631.5789,415.1893,1016.4483
85,598.2456,526.0869,629.8245,420.1387,1015.5512
86,596.4912,523.4782,628.9473,425.0833,1012.6233
87,592.9824,528.6956,629.8245,430.0321,1013.8176
88,594.7368,522.6087,629.8245,434.9796,1011.6870
89,593.8596,520.8695,627.1929,439.9342,1008.6354
90,593.8596,525.2174,631.5789,444.8868,1013.6145
91,592.1052,528.6956,629.8245,449.8395,1013.3048
92,591.2280,524.3478,630.7017,454.7872,1011.0766
93,591.2280,518.2608,627.1929,459.7203,1005.7415
94,588.5964,519.1304,634.2105,464.6552,1009.0417
95,588.5964,516.5217,627.1929,469.5866,1003.3003
96,589.4736,516.5217,628.9473,474.5224,1004.9122
97,587.7192,520.8695,628.9473,479.4627,1006.1281
98,587.7192,519.1304,627.1929,484.4028,1004.1322
99,587.7192,517.3912,622.8070,489.3353,1000.4980
100,588.5964,522.6087,626.3157,494.2749,1005.9011
101,588.5964,522.6087,626.3157,499.3205,1005.9011
102,587.7192,520.0000,624.5614,504.3497,1002.9411
103,588.5964,518.2608,633.3333,509.3592,1008.0432
104,591.2280,516.5217,625.4385,514.3791,1003.7523
105,592.9824,520.0000,625.4385,519.4044,1006.5791
106,590.3508,517.3912,628.0701,524.4136,1005.3258
107,592.9824,517.3912,627.1929,529.4351,1006.3264
108,590.3508,517.3912,631.5789,534.4609,1007.5216
109,592.1052,516.5217,628.9473,539.4875,1006.4582
110,591.2280,514.7825,631.5789,544.5127,1006.6994
111,590.3508,513.0434,631.5789,549.5408,1005.2958
112,590.3508,516.5217,632.4561,554.5629,1007.6257
113,591.2280,514.7825,631.5789,559.5899,1006.6994
114,592.9824,517.3912,630.7017,564.6185,1008.5170
115,591.2280,513.9130,630.7017,569.6482,1005.7047
116,587.7192,515.6521,633.3333,574.6790,1006.1919
117,591.2280,516.5217,631.5789,579.7075,1007.5898
118,586.8421,518.2608,629.8245,584.7351,1004.8168
119,586.8421,514.7825,631.5789,589.7653,1004.1298
120,586.8421,514.7825,630.7017,594.7929,1003.5783
121,586.8421,511.3043,635.9649,599.8236,1005.1204
122,586.8421,510.4347,638.5964,604.8658,1006.3462
123,586.8421,506.0869,633.3333,609.9096,1000.8090
124,585.9649,509.5652,633.3333,614.9486,1002.0592
125,582.4561,506.0869,637.7192,619.9858,1001.0319
126,580.7017,505.2173,637.7192,625.0183,999.5724
127,581.5789,507.8260,635.9649,629.9651,1000.2863
128,583.3333,506.9565,637.7192,635.0098,1001.9822
129,582.4561,506.9565,635.9649,640.0466,1000.3556
130,582.4561,502.6087,638.5964,645.0855,999.8380
131,580.7017,506.9565,633.3333,650.0357,997.6625
132,582.4561,508.6956,639.4736,654.9854,1003.4704
133,582.4561,508.6956,640.3508,660.0265,1004.0297
134,581.5789,510.4347,639.4736,665.0551,1003.8447
135,581.5789,514.7825,638.5964,670.0941,1005.5051
136,584.2105,514.7825,635.0877,675.1308,1004.8081
137,585.0877,518.2608,634.2105,680.1648,1006.5510
138,587.7192,522.6087,641.2280,685.1973,1014.7449
139,588.5964,520.8695,641.2280,690.2373,1014.3591
140,586.8421,520.8695,633.3333,695.2767,1008.3649
141,587.7192,525.2174,630.7017,700.3203,1009.4810
142,588.5964,524.3478,635.9649,705.3492,1012.8365
143,591.2280,523.4782,632.4561,710.3804,1011.7217
144,586.8421,527.8261,633.3333,715.4107,1011.9758
145,592.9824,530.4347,636.8421,720.4431,1019.0962
146,594.7368,532.1738,637.7192,725.4696,1021.5707
147,592.1052,532.1738,634.2105,730.4982,1017.8510
