Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,578.0701,517.3912,624.5614,7.9982,995.9597
2,581.5789,521.7391,626.3157,12.5788,1001.3577
3,582.4561,519.1304,622.8070,17.3402,998.3186
4,578.0701,519.1304,628.0701,22.0012,999.0664
5,579.8245,519.1304,623.6842,26.6527,997.3339
6,585.9649,520.0000,625.4385,31.3272,1002.4611
7,578.9473,517.3912,623.6842,36.0624,995.9195
8,585.9649,520.0000,623.6842,40.7359,1001.3674
9,585.9649,521.7391,624.5614,45.4731,1002.8178
10,585.9649,517.3912,623.6842,50.2326,1000.0153
11,579.8245,518.2608,624.5614,55.0822,997.4306
12,582.4561,517.3912,625.4385,59.8439,999.0607
13,577.1929,523.4782,621.9298,64.6060,996.9844
14,578.0701,520.8695,621.9298,69.3628,996.1259
15,582.4561,524.3478,622.8070,74.1147,1001.0416
16,580.7017,515.6521,624.5614,78.9638,996.5885
17,578.9473,520.0000,624.5614,83.7330,997.8261
18,580.7017,515.6521,623.6842,88.4719,996.0390
19,584.2105,512.1738,626.3157,93.2249,997.9456
20,582.4561,521.7391,620.1754,97.9866,998.0402
21,578.0701,517.3912,625.4385,102.7512,996.5100
22,582.4561,521.7391,625.4385,107.5902,1001.3192
23,580.7017,519.1304,620.1754,112.5249,995.6547
24,585.9649,515.6521,624.5614,117.3690,999.6644
25,584.2105,519.1304,627.1929,122.2170,1002.0825
26,581.5789,516.5217,623.6842,127.1525,997.0008
27,583.3333,517.3912,628.0701,131.9986,1001.2210
28,585.0877,519.1304,626.3157,136.9377,1002.0456
29,578.0701,520.8695,624.5614,141.8731,997.7711
30,580.7017,519.1304,625.4385,146.7302,998.9416
31,583.3333,519.1304,625.4385,151.5760,1000.4736
32,581.5789,520.8695,625.4385,156.5102,1000.3562
33,581.5789,517.3912,620.1754,161.4465,995.2614
34,582.4561,510.4347,625.4385,166.2890,995.4758
35,585.0877,521.7391,626.3157,171.1467,1003.3996
36,581.5789,518.2608,627.1929,176.0890,1000.0997
37,584.2105,510.4347,623.6842,181.0243,995.4031
38,578.0701,518.2608,622.8070,185.8777,995.3130
39,585.9649,513.0434,627.1929,190.7310,999.9697
40,585.9649,513.9130,624.5614,195.5730,998.7684
41,583.3333,513.0434,624.5614,200.4242,996.7789
42,587.7192,510.4347,620.1754,205.2662,995.2764
43,579.8245,514.7825,624.5614,210.1239,995.6277
44,578.0701,513.0434,622.8070,214.9794,992.6063
45,585.9649,519.1304,616.6666,219.8311,996.5585
46,578.0701,512.1738,621.9298,224.6894,991.6067
47,578.0701,513.9130,623.6842,229.5319,993.6064
48,577.1929,521.7391,626.3157,234.3777,998.8167
49,579.8245,520.8695,624.5614,239.2229,998.7885
50,580.7017,517.3912,621.0526,244.0844,995.2962
51,580.7017,519.1304,621.0526,248.9334,996.2014
52,576.3157,521.7391,621.0526,253.7835,995.0165
53,574.5614,520.0000,620.1754,258.6227,992.5413
54,582.4561,520.8695,622.8070,263.4490,999.2241
55,579.8245,519.1304,622.8070,268.3115,996.7855
56,580.7017,520.0000,624.5614,273.1584,998.8450
57,582.4561,522.6087,622.8070,277.9971,1000.1317
58,577.1929,518.2608,625.4385,282.9476,996.4534
59,578.9473,520.0000,623.6842,287.8032,997.2773
60,578.0701,513.9130,626.3157,292.6326,995.2603
61,580.7017,513.9130,624.5614,297.4752,995.6897
62,578.9473,522.6087,625.4385,302.3375,999.7366
63,580.7017,513.9130,623.6842,307.1873,995.1397
64,579.8245,521.7391,622.8070,312.0456,998.1467
65,579.8245,520.0000,623.6842,316.9022,997.7868
66,578.0701,522.6087,618.4210,321.7452,994.8515
67,577.1929,517.3912,619.2982,326.5915,992.1571
68,578.0701,524.3478,617.5438,331.4330,995.2216
69,577.1929,519.1304,620.1754,336.2732,993.6124
70,578.0701,524.3478,621.0526,341.1256,997.4027
71,582.4561,529.5652,620.1754,345.9724,1002.1536
72,578.9473,524.3478,621.0526,350.9174,997.9113
73,574.5614,530.4347,619.2982,355.7745,997.5029
74,578.9473,526.0869,621.0526,360.6225,998.8262
75,574.5614,526.9565,619.2982,365.4656,995.6577
76,574.5614,533.0434,611.4035,370.3276,994.0172
77,574.5614,526.0869,617.5438,375.1636,994.1069
78,574.5614,532.1738,614.9122,380.0148,995.7142
79,577.1929,529.5652,624.5614,384.8687,1001.8323
80,577.1929,527.8261,614.0350,389.8153,994.3798
81,575.4385,527.8261,613.1578,394.6590,992.8204
82,569.2982,526.0869,615.7894,399.5096,989.9821
83,574.5614,526.9565,616.6666,404.3548,994.0230
84,572.8070,520.8695,614.9122,409.2011,988.7012
85,571.0526,522.6087,617.5438,414.0653,990.2431
86,571.0526,524.3478,616.6666,418.9165,990.6157
