Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,750.8771,600.0000,638.5964,7.9982,1153.9593
2,751.7543,599.1304,635.0877,12.6570,1152.1407
3,750.8771,600.0000,634.2105,17.4050,1151.5378
4,752.6315,597.3912,638.5964,22.1417,1153.7487
5,753.5087,597.3912,637.7192,26.9060,1153.8360
6,752.6315,600.8695,634.2105,31.6753,1153.1354
7,750.8771,599.1304,638.5964,36.4305,1153.5074
8,751.7543,599.1304,639.4736,41.1840,1154.5642
9,750.8771,600.0000,638.5964,45.9500,1153.9593
10,752.6315,596.5217,638.5964,50.7024,1153.2987
11,753.5087,600.0000,638.5964,55.5482,1155.6733
12,752.6315,602.6087,638.5964,60.3751,1156.4588
13,751.7543,597.3912,635.9649,65.2224,1151.7214
14,750.8771,596.5217,634.2105,70.0801,1149.7293
15,752.6315,599.1304,638.5964,74.9329,1154.6501
16,751.7543,602.6087,636.8421,79.7906,1154.9197
17,751.7543,604.3478,636.8421,84.6414,1155.8282
18,752.6315,602.6087,635.9649,89.4903,1155.0078
19,751.7543,598.2608,638.5964,94.3322,1153.6274
20,747.3684,600.0000,635.9649,99.1781,1150.2221
21,752.6315,599.1304,635.9649,104.0156,1153.1967
22,750.8771,600.8695,635.9649,108.9553,1152.9580
23,746.4912,593.9130,639.4736,113.9123,1148.4373
24,751.7543,600.8695,637.7192,118.8638,1154.4976
25,750.8771,602.6087,635.9649,123.8181,1153.8653
26,754.3859,600.8695,636.8421,128.7730,1155.7293
27,750.8771,602.6087,638.5964,133.7137,1155.3178
28,753.5087,605.2174,637.7192,138.6554,1157.9073
29,751.7543,600.8695,639.4736,143.5945,1155.4676
30,751.7543,601.7391,635.0877,148.5352,1153.4995
31,754.3859,599.1304,638.5964,153.4716,1155.7945
32,751.7543,597.3912,639.4736,158.4064,1153.6627
33,751.7543,599.1304,640.3508,163.3427,1155.0502
34,752.6315,599.1304,635.0877,168.2716,1152.7132
35,754.3859,598.2608,635.9649,173.2144,1153.8914
36,751.7543,600.8695,634.2105,178.1638,1152.5632
37,751.7543,601.7391,638.5964,183.1132,1155.4350
38,754.3859,601.7391,636.8421,188.0648,1156.1816
39,751.7543,598.2608,634.2105,193.0100,1151.2053
40,753.5087,599.1304,637.7192,197.9500,1154.7375
41,751.7543,601.7391,634.2105,202.8983,1153.0167
42,751.7543,601.7391,636.8421,207.8455,1154.4663
43,752.6315,599.1304,638.5964,212.7988,1154.6501
44,750.8771,600.8695,638.5964,217.7368,1154.4116
45,754.3859,597.3912,636.8421,222.6785,1153.9248
46,751.7543,600.8695,638.5964,227.6182,1154.9824
47,750.8771,597.3912,638.5964,232.5622,1152.6051
48,750.8771,599.1304,635.0877,237.5018,1151.5686
49,751.7543,600.8695,635.9649,242.4350,1153.5295
50,753.5087,597.3912,635.9649,247.3783,1152.8674
51,750.0000,597.3912,634.2105,252.3205,1149.6083
52,753.5087,597.3912,638.5964,257.2380,1154.3211
53,751.7543,600.8695,632.4561,262.1847,1151.5987
54,752.6315,597.3912,637.7192,267.1363,1153.2634
55,750.8771,601.7391,635.9649,272.0840,1153.4113
56,752.6315,601.7391,638.5964,277.0346,1156.0059
57,750.8771,595.6521,635.9649,281.9737,1150.2475
58,751.7543,600.8695,633.3333,286.9275,1152.0806
59,751.7543,603.4782,636.8421,291.8768,1155.3737
60,752.6315,599.1304,639.4736,296.8316,1155.1356
61,754.3859,601.7391,634.2105,301.7810,1154.7342
62,753.5087,597.3912,640.3508,306.7212,1155.2926
63,750.8771,600.8695,638.5964,311.6572,1154.4116
64,750.8771,600.0000,636.8421,316.5994,1152.9893
65,751.7543,600.0000,636.8421,321.5233,1153.5607
66,752.6315,605.2174,636.8421,326.4455,1156.8536
67,751.7543,603.4782,634.2105,331.3868,1153.9252
68,755.2631,600.0000,639.4736,336.3269,1157.3024
69,752.6315,600.0000,639.4736,341.2449,1155.5867
70,750.8771,602.6087,635.0877,346.1753,1153.3820
71,751.7543,598.2608,635.0877,351.1231,1151.6888
72,750.8771,600.8695,635.0877,356.0677,1152.4743
73,753.5087,599.1304,633.3333,361.0129,1152.3210
74,751.7543,601.7391,638.5964,365.9539,1155.4350
75,749.1228,598.2608,636.8421,370.9093,1150.9426
76,753.5087,600.8695,635.9649,375.8587,1154.6735
77,751.7543,600.8695,634.2105,380.8146,1152.5632
78,752.6315,598.2608,636.8421,385.7693,1153.2294
79,752.6315,599.1304,635.0877,390.7074,1152.7132
80,751.7543,602.6087,638.5964,395.6421,1155.8881
81,754.3859,601.7391,638.5964,400.5856,1157.1489
82,752.6315,599.1304,638.5964,405.5258,1154.6501
83,752.6315,601.7391,635.9649,410.4643,1154.5543
84,750.0000,601.7391,638.5964,415.4083,1154.2943
85,750.8771,597.3912,632.4561,420.3300,1149.2143
86,750.8771,605.2174,636.8421,425.2675,1155.7130
87,748.2456,605.2174,638.5964,430.2206,1154.9741
88,752.6315,597.3912,636.8421,435.1708,1152.7785
89,750.8771,599.1304,634.2105,440.1222,1151.0850
90,753.5087,601.7391,634.2105,445.0645,1154.1613
91,752.6315,597.3912,635.0877,450.0108,1151.8103
92,754.3859,600.8695,638.5964,454.9513,1156.6970
93,751.7543,601.7391,634.2105,459.9050,1153.0167
94,752.6315,597.3912,633.3333,464.8528,1150.8439
95,751.7543,599.1304,640.3508,469.8033,1155.0502
96,755.2631,599.1304,640.3508,474.7359,1157.3370
97,752.6315,601.7391,635.9649,479.6717,1154.5543
98,750.8771,600.8695,635.9649,484.6162,1152.9580
99,748.2456,605.2174,636.8421,489.5640,1154.0050
100,752.6315,599.1304,634.2105,494.4965,1152.2302
101,750.8771,598.2608,634.2105,499.5214,1150.6326
102,750.8771,601.7391,638.5964,504.5494,1154.8645
103,751.7543,601.7391,636.8421,509.5830,1154.4663
104,751.7543,600.0000,635.0877,514.6159,1152.5931
105,753.5087,600.8695,638.5964,519.6234,1156.1251
106,751.7543,598.2608,636.8421,524.6520,1152.6572
107,753.5087,600.8695,638.5964,529.6828,1156.1251
108,752.6315,602.6087,634.2105,534.7120,1154.0427
109,752.6315,606.0869,634.2105,539.7379,1155.8627
110,751.7543,606.0869,636.8421,544.7637,1156.7385
111,753.5087,599.1304,638.5964,549.7929,1155.2221
112,751.7543,599.1304,640.3508,554.8198,1155.0502
113,749.1228,599.1304,642.1052,559.8539,1154.3143
114,751.7543,600.8695,635.9649,564.8869,1153.5295
115,748.2456,602.6087,638.5964,569.9338,1153.6092
116,750.8771,600.0000,636.8421,574.9777,1152.9893
117,750.0000,611.3043,634.2105,580.0053,1156.8992
118,751.7543,597.3912,635.0877,585.0208,1151.2373
119,750.0000,597.3912,635.0877,590.0516,1150.0925
120,752.6315,600.0000,639.4736,595.0602,1155.5867
121,754.3859,600.0000,638.5964,600.0789,1156.2454
122,750.8771,601.7391,640.3508,605.0957,1155.8355
123,752.6315,600.0000,633.3333,610.1351,1152.2001
124,751.7543,597.3912,635.0877,615.1534,1151.2373
125,752.6315,605.2174,634.2105,620.1875,1155.4069
126,750.8771,599.1304,639.4736,625.2263,1153.9932
127,750.8771,600.8695,638.5964,630.2674,1154.4116
128,752.6315,600.8695,634.2105,635.3212,1153.1354
129,750.8771,600.0000,635.0877,640.3491,1152.0212
130,753.5087,600.8695,638.5964,645.3511,1156.1251
131,750.8771,600.0000,639.4736,650.3797,1154.4449
132,750.8771,598.2608,637.7192,655.3909,1152.5704
133,753.5087,597.3912,638.5964,660.4223,1154.3211
134,748.2456,597.3912,639.4736,665.4509,1151.3793
135,751.7543,599.1304,635.0877,670.4790,1152.1407
136,752.6315,599.1304,640.3508,675.5012,1155.6214
137,749.1228,599.1304,634.2105,680.5286,1149.9414
138,752.6315,605.2174,635.9649,685.5545,1156.3709
139,751.7543,599.1304,639.4736,690.5858,1154.5642
140,750.8771,602.6087,636.8421,695.6155,1154.3489
141,748.2456,599.1304,638.5964,700.6495,1151.7961
142,752.6315,600.0000,633.3333,705.6776,1152.2001
143,749.1228,599.1304,638.5964,710.6879,1152.3660
144,750.8771,600.8695,633.3333,715.7142,1151.5085
145,755.2631,598.2608,638.5964,720.7484,1155.9169
146,753.5087,600.8695,634.2105,725.7786,1153.7082
147,752.6315,601.7391,638.5964,730.8126,1156.0059
148,753.5087,601.7391,635.9649,735.8493,1155.1263
149,751.7543,600.8695,635.9649,740.8926,1153.5295
150,750.0000,600.0000,633.3333,745.9402,1150.4830
151,752.6315,599.1304,636.8421,750.9439,1153.6807
152,753.5087,598.2608,635.9649,755.9860,1153.3182
153,750.8771,598.2608,635.9649,761.0272,1151.6005
154,749.1228,597.3912,635.9649,766.0644,1150.0054
155,750.8771,596.5217,634.2105,771.0925,1149.7293
156,751.7543,600.8695,637.7192,776.1298,1154.4976
157,750.8771,600.0000,635.0877,781.1741,1152.0212
158,749.1228,599.1304,637.7192,786.1870,1151.8802
159,753.5087,597.3912,637.7192,791.2246,1153.8360
160,751.7543,597.3912,636.8421,796.2659,1152.2060
161,751.7543,599.1304,639.4736,801.3169,1154.5642
162,751.7543,605.2174,635.9649,806.3460,1155.8001
163,752.6315,598.2608,638.5964,811.3800,1154.1992
164,754.3859,599.1304,638.5964,816.4091,1155.7945
165,754.3859,600.0000,636.8421,821.4372,1155.2774
166,752.6315,597.3912,638.5964,826.4484,1153.7487
167,750.8771,597.3912,638.5964,831.4786,1152.6051
168,751.7543,599.1304,635.9649,836.5106,1152.6245
169,750.8771,605.2174,634.2105,841.5403,1154.2650
170,753.5087,594.7825,638.5964,846.5711,1152.9732
171,749.1228,599.1304,633.3333,851.6035,1149.4578
172,752.6315,598.2608,636.8421,856.6288,1153.2294
173,751.7543,600.0000,638.5964,861.6585,1154.5302
174,751.7543,599.1304,635.9649,866.6713,1152.6245
175,751.7543,598.2608,635.9649,871.7016,1152.1727
176,751.7543,601.7391,638.5964,876.7332,1155.4350
177,749.1228,600.0000,634.2105,881.7686,1150.3946
178,751.7543,600.0000,636.8421,886.7782,1153.5607
179,751.7543,600.0000,638.5964,891.7927,1154.5302
180,749.1228,600.0000,632.4561,896.8056,1149.4284
181,751.7543,599.1304,638.5964,901.8153,1154.0786
182,753.5087,603.4782,642.9824,906.8536,1159.9085
183,747.3684,605.2174,635.0877,911.9017,1152.4686
184,750.8771,600.8695,636.8421,916.9423,1153.4421
185,750.8771,600.8695,635.9649,921.9911,1152.9580
186,750.0000,605.2174,638.5964,927.0419,1156.1114
187,751.7543,597.3912,636.8421,932.0586,1152.2060
188,750.0000,601.7391,640.3508,937.0969,1155.2658
189,753.5087,605.2174,642.1052,942.1158,1160.3287
190,751.7543,600.8695,637.7192,947.1526,1154.4976
191,753.5087,597.3912,635.9649,952.1975,1152.8674
192,752.6315,600.8695,638.5964,957.2402,1155.5535
193,752.6315,603.4782,638.5964,962.2960,1156.9122
194,752.6315,596.5217,638.5964,967.3295,1153.2987
195,752.6315,600.0000,638.5964,972.3592,1155.1016
196,753.5087,597.3912,640.3508,977.3685,1155.2926
197,754.3859,601.7391,634.2105,982.3959,1154.7342
198,751.7543,600.8695,635.0877,987.4278,1153.0461
199,751.7543,596.5217,636.8421,992.4542,1151.7554
200,752.6315,600.8695,632.4561,997.4871,1152.1715
201,750.8771,601.7391,638.5964,1002.5195,1154.8645
202,750.8771,600.8695,637.7192,1007.6442,1153.9266
203,751.7543,600.0000,639.4736,1012.7699,1155.0157
204,750.8771,600.8695,635.0877,1017.8659,1152.4743
205,750.8771,603.4782,638.5964,1022.9970,1155.7716
206,750.8771,601.7391,638.5964,1028.1335,1154.8645
207,748.2456,601.7391,638.5964,1033.2674,1153.1552
208,751.7543,595.6521,635.0877,1038.3970,1150.3358
209,752.6315,599.1304,640.3508,1043.5158,1155.6214
210,752.6315,599.1304,638.5964,1048.6346,1154.6501
211,751.7543,599.1304,635.9649,1053.7547,1152.6245
212,751.7543,600.8695,638.5964,1058.8752,1154.9824
213,752.6315,601.7391,635.9649,1064.0139,1154.5543
214,754.3859,598.2608,634.2105,1069.1450,1152.9255
215,752.6315,600.8695,634.2105,1074.2734,1153.1354
216,752.6315,599.1304,636.8421,1079.4036,1153.6807
217,750.8771,601.7391,635.9649,1084.5240,1153.4113
