beacon_ts,hw_timestamp,local_ts
967475591,435042,1076
967578027,537479,1163
967680384,639837,1281
967782845,742300,1383
967885192,844649,1483
967987588,947047,1588
968089986,1049446,1683
968192385,1151847,1792
968294785,1254248,1883
968397184,1356648,1997
968499587,1459053,2100
968601988,1561455,2202
968704387,1663855,2304
968806786,1766257,2403
968909187,1868659,2509
969011591,1971065,2603
969113989,2073464,2714
969216384,2175861,2803
969318787,2278265,2919
969421185,2380664,3021
969523586,2483067,3123
969625992,2585475,3226
969728385,2687869,3323
969830791,2790276,3431
969933184,2892672,3523
970035590,2995079,3636
970137988,3097479,3723
970240386,3199878,3841
970342788,3302281,3943
970445187,3404682,4043
